"last_name, first_name","player_id","year","pa","k_percent","bb_percent","on_base_percent","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Fedde, Erick","607200","2024","726",21.2,7.2,".291",".247",".401",".293",".308",".305",".154",71.6,23.1,13.4,10.6,33.4,26.5,"7.2","15","88.6","14.9",32.4,7.6,37.7,"77.502500545","93.941632164",21.6,45.5
"Taillon, Jameson","592791","2024","675",18.5,4.9,".280",".258",".424",".289",".311",".296",".166",71.9,23,15.8,13.1,37.4,30.9,"7.4","20","89.7","15.9",32.2,7.2,38.8,"79.650003386","94.067909961",19.5,48.2
"Flexen, Chris","623167","2024","707",17.4,8.9,".349",".263",".449",".355",".339",".331",".186",71.6,23.6,13.7,10.8,35.5,27.9,"7.4","13","88.7","17.3",37,8.1,37.4,"77.948608016","93.935523035",22.7,46
"Eflin, Zach","621107","2024","684",19.6,3.5,".283",".250",".412",".297",".298",".280",".162",71.5,22.3,15.4,12.4,34.9,27.9,"7.4","22","88.1","13.3",30,7.5,36.1,"76.388751434","94.040596667",21.6,50
"López, Pablo","641154","2024","772",25.6,5.3,".298",".242",".400",".306",".301",".291",".157",71.5,20.7,11.5,8.6,29.6,22.1,"7.3","28","87.9","13.3",35.9,8.2,37.5,"76.717040308","93.587928673",27,51.8
"Rea, Colin","607067","2024","714",18.9,6,".311",".275",".462",".327",".341",".328",".188",72.2,26.6,15.9,13.1,35.2,29,"7.3","16","90.4","15.2",36.3,8.7,42,"80.213678192","94.594415173",19.3,46.8
"Severino, Luis","622663","2024","761",21.2,7.9,".313",".244",".385",".308",".308",".315",".142",71.6,23,10.7,8.5,27.8,22.1,"7.2","28","87.1","12.7",30.4,5.7,35.6,"75.272418577","93.515669191",22,50.6
"Canning, Griffin","656288","2024","739",17.6,8.9,".334",".262",".446",".341",".336",".332",".184",72.2,26.8,14.7,11.3,36.1,27.8,"7.4","26","90.5","14.3",32.4,8.6,41.9,"80.443886517","94.700505891",24.4,48.4
"Keller, Mitch","656605","2024","773",21.5,6.5,".321",".251",".418",".331",".323",".316",".167",71.1,18.5,12.9,10.5,33.9,27.5,"7.1","23","88.8","12.4",38,7.2,39.3,"77.859026134","94.078079089",21.4,47.6
"Gomber, Austin","596295","2024","696",16.7,5.5,".312",".282",".495",".339",".349",".321",".214",72,24.6,17,13.6,37.1,29.7,"7.5","4","90.2","15",37.7,9.6,41.2,"80.036265299","94.432492071",19.7,48.3
